source;type_fact;span;targetWord;Labeler_1 (yes/no);Label_2 (yes/no);Label_3 (yes/no)
https://georgewbush-whitehouse.archives.gov;meet;QIn limiting this battle against terrorism to groups which threaten the United States , what incentive is there for the international coalition the President is trying to assemble to join in ?;assemble;No;;
https://georgewbush-whitehouse.archives.gov;meet;"That 's why you see President Bush doing something that-- I do n't know that it was done before -- regular weekly meetings with the opposition leaders , with the Democrat leaders of the Senate ; and , of course , with the Republican leaders of the House and the Senate .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I was in synagogue this morning , and so I did not participate in the meeting with the airline people , and in yesterday 's meeting , there was no discussion with the President about minimums .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Well , like I said , and like the President has indicated , we 're not going to prejudge what may take place at the Security Council .The first step is to go forward with this board meeting of the International Atomic Energy Agency .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :No , he was meeting with Turkish officials at the time , or for a portion of when they spoke .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"QBut have you been able to more clearly determine whether the President ever met Abramoff at any of these White House -- 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Well , the agenda -- the meeting is a month off .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Q Okay , you talked about the Hanukkah receptions .Can you talk about the staff - level meetings and what years those were , or -- 
 MR .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"McCLELLAN :No , was n't discussed in this meeting . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Q Scott , a two - part .With regard to reports of the President meeting with Secretary Rumsfeld , considering the just concluded fast of an Episcopal Navy chaplain , why has n't the President , as Commander - in - Chief , ordered the United States Navy to stop any action whatsoever against Christian chaplains who mention Christ , Jewish chaplains who mention God , and Muslim chaplains who mention Mohammed ? 
 MR .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"When you talk about human rights and killing Iraqis , you can look first to Saddam Hussein as the world 's worst human rights violator , one of the world 's worst human rights violators , who has killed his own people . 
Today , for example , when the President meets with the Commissioner on Human Rights , I anticipate one of the topics the President will raise is the horrendous treatment of the Iraqi people , the repression of the Iraqi people by Saddam Hussein , which includes killing those who would have any disagreement with him . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Yes , I know .I was in the meeting ; he did not . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And that 's why the President believes he has outlined an approach that will help fix our broken immigration system .It is an approach that is compassionate and humane and helps us meet an important economic need , while also keeping those who come here for the wrong reasons out of our country . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;No .Again , we do n't get into discussing staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;The meeting will take place this afternoon .This is a follow - up to when the President traveled to Houston , and he met with the families immediately after the memorial service .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"So I wonder if you -- 
 MR .McCLELLAN : I think there will be representatives from the Pentagon represented at this meeting -- or at this briefing . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"Let me give you an update , too , on some of the activities around the administration , and then I 'll be happy to take questions .Secretary Paige will be holding an interactive satellite town meeting from the Newseum to discuss talking with children about last week 's disasters , as well as parental involvement in their children 's education . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Well , the President will be meeting in the afternoon with a group of union leaders that includes the International Union of Operating Engineers , the Marine Engineers , Beneficial Association , the Teamsters , the Iron Workers , AFL - CIA , Building Trade , the Seafarers -- a number of people who are n't exactly bedrock;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;I welcome the opportunity to do this -- but they know the difference between honest critics who question the way the war is being prosecuted -- we welcome that .In fact , the President has met with some of those honest critics .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Can I follow up on that , though ?At the meeting this morning , some of the Democrats indicated that the President should always send up to them choices who are consensus choices -- that 's their words , consensus .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"We 're also continuing to reach out to members of Congress .The President is having meetings -- the President is having individual discussions with members , and members of the White House staff are having discussions with members of Congress about how we can move forward and get this solved this year . 
";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;HADLEY :Well , we have a real opportunity going on -- presented to us in the meeting in London on March 1 , where various representatives of the international community will meet with representatives of the Palestinian Authority .;meet|meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QDo you anticipate further meetings here , other groups coming in to see him over the next two weeks ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you tell us if he met with Karl Rove ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"""I think that leaves an inaccurate impression that this is spying on people that are talking about an upcoming PTA meeting within their hometown .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Well , the agenda -- the meeting is a month off .;meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"This is about connecting the dots .This is about gathering information , connecting the dots , and then disrupting plots and plans against the United States of America . 
";gather;No;;
https://georgewbush-whitehouse.archives.gov;meet;": Does the President believe this was an unjust indictment , given that no individuals were indicted ?And second , has he met with anyone from Arthur Andersen , any employees , any executives about this indictment ? 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"On Wednesday evening , the President will make remarks at the American Enterprise Institute annual dinner . 
And Thursday , the President will meet with the President of Afghanistan in the Oval .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"This is a follow - up to when the President traveled to Houston , and he met with the families immediately after the memorial service .And he met with everybody individually in a room where they all assembled . 
";meet|assemble;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :Again , this is the purpose of the international committee on the Red Cross , and the other fact finders who are in the region , to ascertain facts .;cross;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you tell us if he met with Karl Rove ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"We 'll see precisely , in the wake of the attack , what level of impact they will have .And the President will gauge all that as he meets with his economic team to decide whether or not anything else needs to be done . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"He 's going to be talking more about that soon . 
We had a good discussion yesterday , in one of a series of meetings that the President has been chairing to talk about these issues , and how we move forward .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;And we have good cooperation and sharing going on since September 11th .We 've taken a number of steps since September 11th to improve our intelligence , and to improve our gathering of that intelligence , and our sharing of information not only here at home , but abroad , as well .;gathering;No;;
https://georgewbush-whitehouse.archives.gov;meet;"And I do n't think getting into discussion about this -- discussing this , is fair to anybody beyond responding to what your question was . 
As a general matter , there were just a few staff level meetings and a couple of holiday receptions , is what I 've been able to learn .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Can you tell us what 's going to top the agenda thereand why did the President want to meet with Prime Minister Blair in Crawford as opposed to here at the White House ? 
";meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Within one week of the attack on the World Trade Center and the Pentagon , and in Pennsylvania , the President visited a mosque here in the Washington community to send a signal that Islam is a peace - loving religion .And throughout the various meetings that the President had with members of Congress , even in the week prior to that , right after the attack , the President urged members of Congress to remind Americans that Arab Americans love our flag just as much as anybody else and that Islam is a religion of peace . 
";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I was in synagogue this morning , and so I did not participate in the meeting with the airline people , and in yesterday 's meeting , there was no discussion with the President about minimums .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you tell us if he met with Karl Rove ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"I mean , those -- security and prosperity go hand - in - hand .If you look at what we 've talked about in previous summits or meetings in the hemisphere , that 's at the top of our shared agenda . 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;This is about Iraq .On Monday , the UK Telegraph reported the murder of General Muhammad Sa'id al - Darraj , a senior missile engineer in charge of Iraq 's mobile Scud missile program , shortly after meeting with Saddam 's officials .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"QSo , Scott , why would a Jack Abramoff have access to staff - level meetings here at the White House ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;MR .McCLELLAN : I have n't seen his comments , but I know that this is something that the two leaders have discussed in each and every meeting that they 've had .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"FLEISCHER : 
Well , the President is looking forward to the meeting to underscore the friendship between the United States and Mexico 
 , which is far from symbolic .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;They had very good conversations .They had met previously in the Oval Office .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN :Well , they did meet yesterday .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you assure us that no one in the administration has ever tried to influence -- not the editorial portion of their broadcasting , but their news gathering areas ? 
 MR .";gathering;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QBut if there was nothing improper about contacts with him , why not open up records about any visits or meetings Mr. Abramoff might have had ? 
 MR .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;QCan I one -- just one follow - up , Scott , because I think just to refresh your memory , when the whole Enron scandal came up , and there were questions about Ken Lay 's ties to President Bush , this White House -- and you may have even worked on this -- under your predecessor provided specific information on White House meetings between Ken Lay and senior staff .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Certainly if that 's the case , the he will be available to talk to you afterwards .And the President -- at my last count , the President has met with the press in taking questions on 214 occasions .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;Well , I think if that was said , it ignores the reality , because the President has been leading the way when it comes to making sure that we 're enforcing our borders and that we 're also continuing to be a welcoming society for people that want to come here for the right reasons .And that 's why the President has outlined a comprehensive approach to immigration reform , an approach that is based on continuing to take steps to strengthen our borders , as well as moving forward on a temporary worker program to meet an important economic need .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;QCan I one -- just one follow - up , Scott , because I think just to refresh your memory , when the whole Enron scandal came up , and there were questions about Ken Lay 's ties to President Bush , this White House -- and you may have even worked on this -- under your predecessor provided specific information on White House meetings between Ken Lay and senior staff .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"And the President calls upon all Angolans to fulfill their obligations to peace there . 
As you mentioned , President dos Santos will be here tomorrow , along with President Chissano of Mozambique and Mogae of Botswana , for a meeting with the President .";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN :The President met his commitments in Texas .;meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;McCLELLAN : I did check .There were a few staff - level meetings .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Q 
Okay , quickly , the meeting with 
 General Franks this morning , can you tell us a little bit about that , what was that aimed at ? 
 MR .";meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"Q And can you preview 
the Lebanon meeting, what you hope to get out of that ? 
";meeting;No;;
https://georgewbush-whitehouse.archives.gov;meet;"FLEISCHER :I think it 's a reflection of the complicated nature of immigration issues , that all good intentions are also met by a very interesting reality on the ground , involving the rights of people to come to the United States and the obligations on people to come here legally , while recognizing that America has benefitted nicely from millions of people who have come here , who pay taxes here and are contributing to the American economy . 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"The next important test .So if Iraq meets this test , that would be a substantive step forward in actual , factual disarmament on the ground that they destroyed 380 missiles ? 
";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :I was in synagogue this morning , and so I did not participate in the meeting with the airline people , and in yesterday 's meeting , there was no discussion with the President about minimums .;meeting;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"This is a follow - up to when the President traveled to Houston , and he met with the families immediately after the memorial service .And he met with everybody individually in a room where they all assembled . 
";meet|assemble;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;FLEISCHER :As you know , President Bush met with President de la Rua up in the United Nations when the two were together in New York , just over one month ago .;meet;Yes;;
https://georgewbush-whitehouse.archives.gov;meet;"QWould you qualify it as senior staff that he met with here ? 
 MR .";meet;No;;
https://georgewbush-whitehouse.archives.gov;meet;"QCan you assure us that no one in the administration has ever tried to influence -- not the editorial portion of their broadcasting , but their news gathering areas ? 
 MR .";gathering;No;;
